               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.011732,             0.02879,           0.0049948,             0.96214,             0.95544,             0.98514,             0.95947,           0.0062808,            0.016791,           0.0056791,             0.00307,             0.00307,             0.00307
                 107,             0.01109,            0.027595,           0.0048281,             0.96108,             0.96185,             0.98611,             0.96245,           0.0059478,            0.016267,           0.0050216,            0.003004,            0.003004,            0.003004
                 108,            0.011026,            0.026887,           0.0047809,             0.96352,             0.95533,             0.98508,             0.96225,           0.0062273,            0.016426,           0.0056533,            0.002938,            0.002938,            0.002938
                 109,            0.011061,            0.027443,           0.0049621,             0.96497,             0.94815,             0.98443,             0.96208,            0.006044,            0.016424,           0.0059742,            0.002872,            0.002872,            0.002872
                 110,            0.011614,            0.028114,           0.0053024,             0.96843,             0.95524,             0.98715,             0.96656,           0.0059061,            0.016111,           0.0053844,            0.002806,            0.002806,            0.002806
                 111,             0.01113,            0.027317,           0.0047739,             0.95907,             0.95948,             0.98415,             0.96015,           0.0060178,            0.016135,            0.005718,             0.00274,             0.00274,             0.00274
                 112,            0.011402,            0.028396,           0.0050286,             0.96787,             0.94846,             0.98522,             0.96431,           0.0057807,            0.015998,           0.0054963,            0.002674,            0.002674,            0.002674
                 113,            0.010601,            0.026198,           0.0048342,             0.95439,             0.95662,             0.98426,             0.95857,           0.0060204,            0.016197,           0.0058362,            0.002608,            0.002608,            0.002608
                 114,            0.010328,            0.025824,           0.0045399,             0.95437,             0.96308,             0.98463,             0.96146,           0.0059249,            0.016033,           0.0055985,            0.002542,            0.002542,            0.002542
                 115,            0.010712,            0.027059,           0.0046216,             0.96301,             0.95965,             0.98637,              0.9656,           0.0057758,            0.015716,           0.0052309,            0.002476,            0.002476,            0.002476
                 116,            0.010678,             0.02717,           0.0047504,             0.96728,             0.95846,             0.98829,             0.96758,           0.0058253,            0.015646,           0.0051485,             0.00241,             0.00241,             0.00241
                 117,            0.010919,            0.026594,           0.0046905,             0.95046,             0.96071,             0.98456,             0.96328,           0.0056904,            0.015686,           0.0061644,            0.002344,            0.002344,            0.002344
                 118,            0.010757,            0.027146,           0.0046397,             0.96732,             0.96094,             0.98858,             0.96794,           0.0057377,            0.015512,            0.004979,            0.002278,            0.002278,            0.002278
                 119,            0.010186,            0.025824,           0.0045164,             0.96637,             0.95112,             0.98544,             0.96659,           0.0055755,            0.015335,           0.0057607,            0.002212,            0.002212,            0.002212
                 120,            0.010442,            0.025665,           0.0042905,             0.97112,             0.96173,              0.9889,             0.96908,           0.0055852,            0.015516,           0.0044664,            0.002146,            0.002146,            0.002146
                 121,            0.010712,            0.027387,           0.0043985,             0.96578,             0.95713,             0.98561,             0.96468,           0.0056502,             0.01573,           0.0052726,             0.00208,             0.00208,             0.00208
                 122,            0.010482,            0.027533,           0.0044347,             0.96276,             0.95419,             0.98433,             0.96451,           0.0055143,            0.015284,           0.0054313,            0.002014,            0.002014,            0.002014
                 123,             0.01029,            0.026313,           0.0042711,             0.95975,             0.96587,             0.98787,             0.96904,           0.0056636,             0.01548,            0.005161,            0.001948,            0.001948,            0.001948
